peak,lat,lon,quadrangle,range,status,routes,year,grade,grade_bucket,cost,note,draw_sort
"Culebra (14,047 ft)",37.1222,-105.1857,Culebra Peak,Sangre de Cristo,Other,,,N/A,N/A,N/A,Private land,1
"Little Bear  (14,037 ft)",37.56668,-105.49723,Blanca Peak,Sangre de Cristo,Other,,,N/A,N/A,N/A,Too Hazardous to Maintain,1
"Longs (14,255 ft)",40.2548,-105.6161,Longs Peak,Front,Other,,,N/A,N/A,N/A,Maintained by National Park Service,1
"Castle (14,265 ft) & Conundrum (14,060 ft)",39.0095,-106.86139,Hayden Peak,Elk,Unsurveyed,Castle Creek,,Unknown,Unknown,Unknown,,2
"El Diente (14,159 ft)",37.83929,-108.00522,Dolores Peak,San Juan,Unsurveyed,Kilpacker & Navajo Basins,,Unknown,Unknown,Unknown,,2
"Eolus (14,083 ft) & North Eolus (14,039 ft)",37.6219,-107.6226,Columbine Pass,San Juan,Unsurveyed,Chicago Basin,,Unknown,Unknown,Unknown,,2
"Kit Carson (14,165 ft) & Challenger Point (14,081 ft)",37.97958,-105.6025,Crestone Peak,Sangre de Cristo,Unsurveyed, North Slope,,Unknown,Unknown,Unknown,,2
"Lincoln (14,286 ft) & Cameron (14,238 ft)",39.3515,-106.1115,Alma,Mosquito,Unsurveyed,Kite Lake Loop,,Unknown,Unknown,Unknown,,2
"Maroon (14,156 ft)",39.0708,-106.989,Maroon Bells,Elk,Unsurveyed,South Ridge,,Unknown,Unknown,Unknown,,2
"Pikes (14,110 ft)",38.8405,-105.0446,Pikes Peak,Front,Unsurveyed,Barr Trail & Crags Trail,,Unknown,Unknown,Unknown,,2
"San Luis (14,014 ft)",37.9868,-106.9311,San Luis Peak,San Juan,Unsurveyed,Stewart & Cochetopa Creeks,,Unknown,Unknown,Unknown,,2
"Sherman (14,036 ft)",39.2249,-106.1698,Mount Sherman,Mosquito,Unsurveyed,Fourmile Creek & Iowa Gulch,,Unknown,Unknown,Unknown,,2
"Sunshine (14,001 ft)",37.92268,-107.42548,Redcloud Peak,San Juan,Unsurveyed,Redcloud traverse,,Unknown,Unknown,Unknown,,2
"Tabeguache (14,155 ft)",38.62544,-106.25081,Saint Elmo,Sawatch,Unsurveyed,Shavano traverse,,Unknown,Unknown,Unknown,,2
"Wilson Peak (14,017 ft)",37.8603,-107.9847,Mount Wilson,San Juan,Unsurveyed,Rock of Ages,,Unknown,Unknown,Unknown,,2
"Mt. Wilson (14,246 ft)",37.8391,-107.9915,Mount Wilson,San Juan,Unsurveyed,Navajo Basin & Rock of Ages,,Unknown,Unknown,Unknown,,2
"Blanca (14,345 ft) & Ellingwood Point (14,042 ft)",37.5774,-105.4857,Blanca Peak,Sangre de Cristo,Completed,Lake Como,2011-2012,A,A,$,,3
"North Maroon (14,019 ft)",39.07595,-106.98708,Maroon Bells,Elk,Completed," Approach, Northeast Ridge",2012,A,A,$,,3
"Harvard (14,420 ft)",38.9243,-106.3208,Mount Harvard,Sawatch,Completed,North Hornfork Basin,1999-2002,A-,A,$,,3
"Humboldt (14,064 ft)",37.9761,-105.555,Crestone Peak,Sangre de Cristo,Completed, South Colony Lakes,1997-1998,A-,A,$,,3
